"","raw_batch1_07262021_MT___MT_20210726_001","raw_batch1_07262021_MT___MT_20210726_003","raw_batch1_07262021_MT___MT_20210726_005","raw_batch1_07262021_MT___MT_20210726_007","raw_batch1_07262021_MT___MT_20210726_009","raw_batch1_07262021_MT___MT_20210726_095","raw_batch1_07262021_MT___MT_20210726_097","raw_batch1_07262021_MT___MT_20210726_193","raw_batch1_07262021_MT___Blank_20210726_003"
"F615",0,0,0,0,0,0,0,0,0
"F616",0,0,0,0,0,0,0,0,0
"F618",0,0,0,0,0,0,0,0,0
"F619",0,0,0,0,0,0,0,0,0
"F625",0,0,0,0,0,0,0,0,0
"F629",0,0,0,0,0,0,0,0,0
"F630",0,0,0,0,0,0,0,0,0
"F631",0,0,0,0,0,0,0,0,0
"F636",0,0,0,0,0,0,0,0,0
"F637",0,0,0,0,63935,0,0,0,0
"F639",0,0,0,27972,18625,7984,0,3069,0
"F641",0,0,0,0,0,0,0,0,0
"F642",0,0,0,0,0,0,0,0,0
"F643",0,0,0,0,0,0,0,0,0
"F648",9174595,6725619,4593338,4445216,4098963,3081652,3047973,3520585,0
"F649",9049194,3276591,2169829,1735272,1238384,13958200,8436575,11791182,2873393
"F650",0,0,0,0,0,0,0,0,0
"F652",0,0,0,0,0,0,0,0,0
"F653",2924920,1142470,693394,525407,311238,4246772,2685555,3636654,837484
"F659",0,0,0,0,0,0,0,0,0
"F660",0,0,0,0,0,0,0,0,0
"F661",0,0,0,0,0,0,0,0,0
"F663",0,0,0,0,0,0,0,0,0
"F664",0,0,0,0,0,0,0,0,0
"F665",0,0,0,0,0,0,0,0,0
"F666",0,0,0,0,0,0,0,0,0
"F668",0,0,0,0,0,0,0,0,0
"F670",0,0,0,0,0,0,0,0,0
"F671",424292,561916,516711,656674,717862,0,0,0,0
"F672",336637,241435,172679,189639,181596,0,0,0,0
"F673",0,0,0,0,0,0,0,0,0
"F674",0,0,0,0,0,0,0,0,0
"F676",1546973,1156469,1079917,1007451,973844,853674,814256,0,0
"F682",166556,0,190782,820795,550900,786657,429129,0,0
"F687",123373,218707,128669,244310,115389,64315,144766,151689,0
"F688",954241,803238,756961,723787,671135,723449,590545,665376,0
"F689",5568928,5244871,4906786,5162867,5106873,5500411,5531260,5533555,2201912
"F690",126312632,94774375,83627920,80990320,77774222,69977077,69568064,64278269,1052550
"F691",163663395,112376175,100028774,94975026,87607412,90699421,88656791,82058953,1168404
"F692",2347810,2247122,2263877,2537577,2899614,5121141,6088590,4342712,0
"F693",1186031,908008,914502,746044,699373,645137,502417,375995,0
"F694",25033591,16633838,12872865,12108148,12158292,10113216,9323313,8349175,0
"F696",0,0,0,0,0,0,0,0,0
"F697",0,0,0,0,0,0,0,0,0
"F698",0,0,0,0,0,173838,147024,251327,366836
"F700",0,0,0,0,0,0,0,0,0
"F703",666766,674389,678457,817376,0,716263,623835,706804,0
"F704",0,0,0,0,0,0,0,0,0
"F705",0,713199,1018088,0,830963,651746,0,781178,0
"F706",0,56932,67845,0,59615,176382,0,60955,0
"F707",0,0,0,0,0,0,0,0,0
"F708",1127624,0,0,743430,0,0,0,0,0
"F709",0,3728,0,0,0,9046,0,0,0
"F710",0,13133,17152,34278,35326,0,35310,33733,0
"F711",2464672,1615970,1311395,1282460,1184936,839758,864877,668682,0
"F712",314146,119738,109001,112967,139871,49179,85645,54603,0
"F713",0,0,0,0,0,0,0,0,0
"F714",0,0,0,0,0,0,0,0,0
"F716",1062626,909029,826012,0,0,0,0,0,0
"F717",0,0,0,0,0,0,0,0,0
"F718",0,0,0,0,0,214229,0,0,0
"F719",0,0,0,0,0,357349,0,0,0
"F726",471806,420802,335897,338659,284065,257764,272621,241130,148283
"F727",1640786,1435204,1190723,1228512,1115604,756307,749978,635774,176466
"F728",4107517,2920085,2271926,2174449,2165954,2327855,2034703,1907609,202064
"F729",1384159,2180559,2287511,2475564,2471265,2523661,2675973,4251365,2403590
"F730",0,0,0,0,0,0,0,0,0
"F731",0,0,0,0,0,0,0,0,0
"F732",0,0,0,0,0,0,0,0,0
"F736",1370989,925116,766319,0,734335,778644,584282,590620,0
"F737",0,0,0,0,0,0,0,0,0
"F739",0,0,0,0,0,0,0,0,0
"F740",0,0,0,0,0,0,0,0,0
"F742",0,0,0,0,0,0,0,0,0
"F743",0,0,0,0,0,0,0,0,0
"F744",0,0,0,0,0,0,0,0,0
"F746",0,0,0,0,0,0,0,0,0
"F747",0,0,0,0,0,0,0,0,0
"F749",0,0,0,0,0,0,0,0,0
"F750",0,0,0,0,0,0,0,0,0
"F751",775205,707178,513158,481393,459186,0,0,0,0
"F752",0,0,0,0,0,0,0,0,0
"F754",0,0,0,0,0,0,0,0,0
